ID Column, This is a file in csv format from Siemens Balance Sheet., This file is, going to be, prepared firstly, for SQL loading, and then to, upload to Github., So it will be without, double quotation and additional comma.;;;;;;;;;;;;;;;
                  ,  By taking advantage of either 'replace' or 'substitute' the double quotation marks, are going to be removed. ;;;;;;;;;;;;;;;
                   , Some grammatical punctuation mistakes in this explanation text are inevitable., For every step, the result in the table is shown., , , , , ,;;;;;;;;;;;;;;;
                   , 1. At first view the table is like this:, , , , , , , ,;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , Primary Shape of the table, , , , , , , ,;;;;;;;;;;;;;;;
, ID  items FY 2020_Q2 FY 2020_FH FY 2021_Q2 FY 2021_FH FY 2020_Q2VA FY 2020_FHVA FY 2021_Q2VA FY 2021_FHVA;;;;;;;;;;;;;;;
, 5 Net income 697 1786 2390 3888 100 100 100 100;;;;;;;;;;;;;;;
, 6 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
, 7 Remeasurements of defined benefit plans 41 363 918 1224 5.88235294117647 20.3247480403135 38.4100418410041 31.4814814814814;;;;;;;;;;;;;;;
, 8 therein: Income tax effects -250 -416 -311 -56 -35.8680057388809 -23.2922732362821 -13.0125523012552 -1.44032921810699;;;;;;;;;;;;;;;
, 9 Remeasurements of equity instruments 2 17 18 16 0.286944045911047 0.951847704367301 0.753138075313807 0.411522633744856;;;;;;;;;;;;;;;
, 10 therein: Income tax effects 0 -3 18 0 0 -0.167973124300111 0.753138075313807 0;;;;;;;;;;;;;;;
, 11 Income (loss) from investments accounted for using the equity method, net 0 -4 39 44 0 -0.223964165733482 1.63179916317991 1.13168724279835;;;;;;;;;;;;;;;
, 12 Items that will not be reclassified to profit or loss 42 376 975 1285 6.02582496413199 21.0526315789473 40.7949790794979 33.0504115226337;;;;;;;;;;;;;;;
, 13 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
, 14 Currency translation differences -254 -1100 1529 612 -36.441893830703 -61.5901455767077 63.9748953974895 15.7407407407407;;;;;;;;;;;;;;;
, 15 Derivative financial instruments -45 -18 101 -170 -6.45624103299856 -1.00783874580067 4.22594142259414 -4.37242798353909;;;;;;;;;;;;;;;
, 16 therein: Income tax effects 20 0 -26 53 2.86944045911047 0 -1.08786610878661 1.36316872427983;;;;;;;;;;;;;;;
, 17 Income (loss) from investments accounted for using the equity method, net -42 -33 28 19 -6.02582496413199 -1.84770436730123 1.17154811715481 0.488683127572016;;;;;;;;;;;;;;;
, 18 Items that may be reclassified subsequently to profit or loss -340 -1152 1659 462 -48.780487804878 -64.501679731243 69.4142259414225 11.8827160493827;;;;;;;;;;;;;;;
, 19 Other comprehensive income, net of income taxes -298 -776 2634 1746 -42.754662840746 -43.4490481522956 110.20920502092 44.9074074074074;;;;;;;;;;;;;;;
, 20 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
, 21 Total comprehensive income 399 1010 5024 5633 57.2453371592539 56.5509518477043 210.20920502092 144.881687242798;;;;;;;;;;;;;;;
, 22 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
, 23 Attributable to: 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
, 24 Non-controlling interests 58 10 238 197 8.32137733142037 0.559910414333706 9.9581589958159 5.06687242798353;;;;;;;;;;;;;;;
, 25 Shareholders of Siemens AG 341 1000 4786 5437 48.9239598278335 55.9910414333706 200.251046025104 139.840534979423;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , 2. Now to load it in SQL successfully it needs to have parentheses around all lines., , , , , , , ,;;;;;;;;;;;;;;;
                   , Also the second column which is a string must be surrounded by single quots. , , , , , , , ,;;;;;;;;;;;;;;;
                   , Additionally every line has to have a comma after the closing parenthesis. , , , , , , , ,;;;;;;;;;;;;;;;
                   , To do these modifications the concat function is going to be applied. , , , , , , , ,;;;;;;;;;;;;;;;
                   , But before that by using the text to column from Data tab they are going to be separated. , , , , , , , ,;;;;;;;;;;;;;;;
                   , The formula after putting down the missing parts as ( ,' ', ,,,,,,, ), is like this:  , , , , , , , ,;;;;;;;;;;;;;;;
                   , =concat()  , , , , , , , ,;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , 2nd Table, , , , , , , ,;;;;;;;;;;;;;;;
,items,FY 2020_Q2,FY 2020_FH,FY 2021_Q2,FY 2021_FH,FY 2020_Q2VA,FY 2020_FHVA,FY 2021_Q2VA,FY 2021_FHVA( '  ' ) ,;;;;;;;;;;;;;;;
5,Net income,697,1786,2390,3888,100.0,100.0,100.0,100.0( '  ' ) ,;;;;;;;;;;;;;;;
6,0,0,0,0,0,0.0,0.0,0.0,0.0( '  ' ) ,;;;;;;;;;;;;;;;
7,Remeasurements of defined benefit plans,41,363,918,1224,5.88235294117647,20.32474804031355,38.41004184100419,31.48148148148148( '  ' ) ,;;;;;;;;;;;;;;;
8,therein: Income tax effects,-250,-416,-311,-56,-35.86800573888092,-23.292273236282195,-13.012552301255232,-1.440329218106996( '  ' ) ,;;;;;;;;;;;;;;;
9,Remeasurements of equity instruments,2,17,18,16,0.2869440459110474,0.9518477043673013,0.7531380753138075,0.411522633744856( '  ' ) ,;;;;;;;;;;;;;;;
10,therein: Income tax effects,0,-3,18,0,0.0,-0.16797312430011196,0.7531380753138075,0.0( '  ' ) ,;;;;;;;;;;;;;;;
11,'Income (loss) from investments accounted for using the equity method, net',0,-4,39,44,0.0,-0.22396416573348266,1.6317991631799162,1.131687242798354( '  ' ) ,;;;;;;;;;;;;;;;
12,Items that will not be reclassified to profit or loss,42,376,975,1285,6.025824964131994,21.052631578947366,40.79497907949791,33.050411522633745( '  ' ) ,;;;;;;;;;;;;;;;
13,0,0,0,0,0,0.0,0.0,0.0,0.0( '  ' ) ,;;;;;;;;;;;;;;;
14,Currency translation differences,-254,-1100,1529,612,-36.441893830703016,-61.59014557670772,63.97489539748954,15.74074074074074( '  ' ) ,;;;;;;;;;;;;;;;
15,Derivative financial instruments,-45,-18,101,-170,-6.456241032998565,-1.007838745800672,4.225941422594142,-4.372427983539095( '  ' ) ,;;;;;;;;;;;;;;;
16,therein: Income tax effects,20,0,-26,53,2.8694404591104736,0.0,-1.0878661087866108,1.3631687242798354( '  ' ) ,;;;;;;;;;;;;;;;
17,'Income (loss) from investments accounted for using the equity method, net',-42,-33,28,19,-6.025824964131994,-1.8477043673012319,1.1715481171548117,0.4886831275720165( '  ' ) ,;;;;;;;;;;;;;;;
18,Items that may be reclassified subsequently to profit or loss,-340,-1152,1659,462,-48.78048780487805,-64.501679731243,69.41422594142259,11.882716049382717( '  ' ) ,;;;;;;;;;;;;;;;
19,'Other comprehensive income, net of income taxes',-298,-776,2634,1746,-42.75466284074606,-43.44904815229563,110.2092050209205,44.907407407407405( '  ' ) ,;;;;;;;;;;;;;;;
20,0,0,0,0,0,0.0,0.0,0.0,0.0( '  ' ) ,;;;;;;;;;;;;;;;
21,Total comprehensive income,399,1010,5024,5633,57.24533715925395,56.55095184770437,210.2092050209205,144.88168724279836( '  ' ) ,;;;;;;;;;;;;;;;
22,0,0,0,0,0,0.0,0.0,0.0,0.0( '  ' ) ,;;;;;;;;;;;;;;;
23,Attributable to:,0,0,0,0,0.0,0.0,0.0,0.0( '  ' ) ,;;;;;;;;;;;;;;;
24,Non-controlling interests,58,10,238,197,8.321377331420372,0.5599104143337066,9.9581589958159,5.066872427983539( '  ' ) ,;;;;;;;;;;;;;;;
25,Shareholders of Siemens AG,341,1000,4786,5437,48.92395982783357,55.99104143337066,200.2510460251046,139.84053497942386( '  ' ) ,;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , 3. Using concat to join the after making the elements apart from each other by text to columns. , , , , , , , ,;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
                   , 3rd Table, , , , , , , ,;;;;;;;;;;;;;;;
,;ID ;items;FY 2020_Q2;FY 2020_FH;FY 2021_Q2;FY 2021_FH;FY 2020_Q2VA;FY 2020_FHVA;FY 2021_Q2VA;FY 2021_FHVA;(;';';);,
,;5;Net income;697;1786;2390;3888;100;100;100;100;(;';';);,
,;6;0;0;0;0;0;0;0;0;0;(;';';);,
,;7;Remeasurements of defined benefit plans;41;363;918;1224;5.882352941;20.32474804;38.41004184;31.48148148;(;';';);,
,;8;therein: Income tax effects;-250;-416;-311;-56;-35.86800574;-23.29227324;-13.0125523;-1.440329218;(;';';);,
,;9;Remeasurements of equity instruments;2;17;18;16;0.286944046;0.951847704;0.753138075;0.411522634;(;';';);,
,;10;therein: Income tax effects;0;-3;18;0;0;-0.167973124;0.753138075;0;(;';';);,
,;11;Income (loss) from investments accounted for using the equity method, net;0;-4;39;44;0;-0.223964166;1.631799163;1.131687243;(;';';);,
,;12;Items that will not be reclassified to profit or loss;42;376;975;1285;6.025824964;21.05263158;40.79497908;33.05041152;(;';';);,
,;13;0;0;0;0;0;0;0;0;0;(;';';);,
,;14;Currency translation differences;-254;-1100;1529;612;-36.44189383;-61.59014558;63.9748954;15.74074074;(;';';);,
,;15;Derivative financial instruments;-45;-18;101;-170;-6.456241033;-1.007838746;4.225941423;-4.372427984;(;';';);,
,;16;therein: Income tax effects;20;0;-26;53;2.869440459;0;-1.087866109;1.363168724;(;';';);,
,;17;Income (loss) from investments accounted for using the equity method, net;-42;-33;28;19;-6.025824964;-1.847704367;1.171548117;0.488683128;(;';';);,
,;18;Items that may be reclassified subsequently to profit or loss;-340;-1152;1659;462;-48.7804878;-64.50167973;69.41422594;11.88271605;(;';';);,
,;19;Other comprehensive income, net of income taxes;-298;-776;2634;1746;-42.75466284;-43.44904815;110.209205;44.90740741;(;';';);,
,;20;0;0;0;0;0;0;0;0;0;(;';';);,
,;21;Total comprehensive income;399;1010;5024;5633;57.24533716;56.55095185;210.209205;144.8816872;(;';';);,
,;22;0;0;0;0;0;0;0;0;0;(;';';);,
,;23;Attributable to:;0;0;0;0;0;0;0;0;(;';';);,
,;24;Non-controlling interests;58;10;238;197;8.321377331;0.559910414;9.958158996;5.066872428;(;';';);,
,;25;Shareholders of Siemens AG;341;1000;4786;5437;48.92395983;55.99104143;200.251046;139.840535;(;';';);,
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(ID ,'items',FY 2020_Q2,FY 2020_FH,FY 2021_Q2,FY 2021_FH,FY 2020_Q2VA,FY 2020_FHVA,FY 2021_Q2VA,FY 2021_FHVA),;;;;;;;;;;;;;;;
(5,'Net income',697,1786,2390,3888,100,100,100,100),;;;;;;;;;;;;;;;
(6,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(7,'Remeasurements of defined benefit plans',41,363,918,1224,5.88235294117647,20.3247480403135,38.4100418410041,31.4814814814814),;;;;;;;;;;;;;;;
(8,'therein: Income tax effects',-250,-416,-311,-56,-35.8680057388809,-23.2922732362821,-13.0125523012552,-1.44032921810699),;;;;;;;;;;;;;;;
(9,'Remeasurements of equity instruments',2,17,18,16,0.286944045911047,0.951847704367301,0.753138075313807,0.411522633744856),;;;;;;;;;;;;;;;
(10,'therein: Income tax effects',0,-3,18,0,0,-0.167973124300111,0.753138075313807,0),;;;;;;;;;;;;;;;
(11,'Income (loss) from investments accounted for using the equity method, net',0,-4,39,44,0,-0.223964165733482,1.63179916317991,1.13168724279835),;;;;;;;;;;;;;;;
(12,'Items that will not be reclassified to profit or loss',42,376,975,1285,6.02582496413199,21.0526315789473,40.7949790794979,33.0504115226337),;;;;;;;;;;;;;;;
(13,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(14,'Currency translation differences',-254,-1100,1529,612,-36.441893830703,-61.5901455767077,63.9748953974895,15.7407407407407),;;;;;;;;;;;;;;;
(15,'Derivative financial instruments',-45,-18,101,-170,-6.45624103299856,-1.00783874580067,4.22594142259414,-4.37242798353909),;;;;;;;;;;;;;;;
(16,'therein: Income tax effects',20,0,-26,53,2.86944045911047,0,-1.08786610878661,1.36316872427983),;;;;;;;;;;;;;;;
(17,'Income (loss) from investments accounted for using the equity method, net',-42,-33,28,19,-6.02582496413199,-1.84770436730123,1.17154811715481,0.488683127572016),;;;;;;;;;;;;;;;
(18,'Items that may be reclassified subsequently to profit or loss',-340,-1152,1659,462,-48.780487804878,-64.501679731243,69.4142259414225,11.8827160493827),;;;;;;;;;;;;;;;
(19,'Other comprehensive income, net of income taxes',-298,-776,2634,1746,-42.754662840746,-43.4490481522956,110.20920502092,44.9074074074074),;;;;;;;;;;;;;;;
(20,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(21,'Total comprehensive income',399,1010,5024,5633,57.2453371592539,56.5509518477043,210.20920502092,144.881687242798),;;;;;;;;;;;;;;;
(22,'0',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(23,'Attributable to:',0,0,0,0,0,0,0,0),;;;;;;;;;;;;;;;
(24,'Non-controlling interests',58,10,238,197,8.32137733142037,0.559910414333706,9.9581589958159,5.06687242798353),;;;;;;;;;;;;;;;
(25,'Shareholders of Siemens AG',341,1000,4786,5437,48.9239598278335,55.9910414333706,200.251046025104,139.840534979423),;;;;;;;;;;;;;;;
